state,serff_tracking_number,company_name,sub_type_of_insurance,effective_date,source,external_validation,match_strength,validation_tier
ID,ALSE-134644319,Allstate North American Insurance Company,19.0001 Private Passenger Auto (PPA),09/23/2025,original,pipeline_extracted,,pipeline_only
ID,ALSE-134645740,Allstate Insurance Company,19.0001 Private Passenger Auto (PPA),09/29/2025,original,pipeline_extracted,,pipeline_only
ID,ALSE-134645740,Allstate Property and Casualty Insurance Company,19.0001 Private Passenger Auto (PPA),09/29/2025,original,pipeline_extracted,,pipeline_only
ID,ALSE-134645740,Allstate Indemnity Company,19.0001 Private Passenger Auto (PPA),09/29/2025,original,pipeline_extracted,,pipeline_only
ID,ALSE-134724096,Allstate Insurance Company,04.0001 Condominium Homeowners,01/12/2026,original,pipeline_extracted,,pipeline_only
ID,ALSE-134737223,Allstate Indemnity Company,04.0002 Mobile Homeowners,01/12/2026,original,pipeline_extracted,,pipeline_only
ID,ALSE-134780087,Allstate Vehicle and Property Insurance Company,04.0003 Owner Occupied Homeowners,03/02/2026,original,pipeline_extracted,,pipeline_only
ID,ALSE-134810468,Allstate Property and Casualty Insurance Company,04.0003 Owner Occupied Homeowners,03/02/2026,original,pipeline_extracted,,pipeline_only
ID,ALSE-134813879,Allstate Insurance Company,04.0003 Owner Occupied Homeowners,03/02/2026,original,pipeline_extracted,,pipeline_only
ID,ALSE-134817781,Allstate Indemnity Company,04.0003 Owner Occupied Homeowners,03/02/2026,original,pipeline_extracted,,pipeline_only
ID,ALSE-134865728,Allstate North American Insurance Company,04.0003 Owner Occupied Homeowners,04/14/2026,original,pipeline_extracted,,pipeline_only
ID,ALSE-133933153,Encompass Indemnity Company,19.0001 Private Passenger Auto (PPA),01/28/2024,extension,pipeline_extracted,,pipeline_only
ID,ALSE-134023631,Encompass Indemnity Company,04.0003 Owner Occupied Homeowners,04/14/2024,extension,pipeline_extracted,,pipeline_only
ID,ALSE-134145696,Encompass Indemnity Company,19.0001 Private Passenger Auto (PPA),08/19/2024,extension,pipeline_extracted,,pipeline_only
ID,ALSE-134198284,Encompass Indemnity Company,19.0001 Private Passenger Auto (PPA),08/25/2024,extension,pipeline_extracted,,pipeline_only
ID,ALSE-134228318,Encompass Indemnity Company,04.0003 Owner Occupied Homeowners,10/13/2024,extension,pipeline_extracted,,pipeline_only
ID,ALSE-134545996,Encompass Indemnity Company,04.0003 Owner Occupied Homeowners,03/16/2026,original,pipeline_extracted,,pipeline_only
ID,ALSE-134592232,Encompass Indemnity Company,19.0001 Private Passenger Auto (PPA),09/01/2025,original,pipeline_extracted,,pipeline_only
ID,GMMX-134491469,Encompass Indemnity Company,19.0001 Private Passenger Auto (PPA),06/23/2025,original,pipeline_extracted,,pipeline_only
ID,GECC-133829918,GEICO Secure Insurance Company,19.0001 Private Passenger Auto (PPA),05/23/2024,extension,pipeline_extracted,,pipeline_only
ID,GECC-133849972,GEICO Secure Insurance Company,19.0001 Private Passenger Auto (PPA),08/02/2024,extension,pipeline_extracted,,pipeline_only
ID,GECC-134085231,GEICO Secure Insurance Company,19.0001 Private Passenger Auto (PPA),08/03/2024,extension,pipeline_extracted,,pipeline_only
ID,GECC-134128210,GEICO Indemnity Company,19.0001 Private Passenger Auto (PPA),09/26/2024,extension,pipeline_extracted,,pipeline_only
ID,GECC-134128210,GEICO General Insurance Company,19.0001 Private Passenger Auto (PPA),09/26/2024,extension,pipeline_extracted,,pipeline_only
ID,GECC-134128210,Government Employees Insurance Company,19.0001 Private Passenger Auto (PPA),09/26/2024,extension,pipeline_extracted,,pipeline_only
ID,GECC-134128210,GEICO Advantage Insurance Company,19.0001 Private Passenger Auto (PPA),09/26/2024,extension,pipeline_extracted,,pipeline_only
ID,GECC-134128210,GEICO Choice Insurance Company,19.0001 Private Passenger Auto (PPA),09/26/2024,extension,pipeline_extracted,,pipeline_only
ID,GECC-134601148,GEICO Casualty Company,19.0001 Private Passenger Auto (PPA),05/08/2025,original,pipeline_extracted,,pipeline_only
ID,GECC-134601148,GEICO Marine Insurance Company,19.0001 Private Passenger Auto (PPA),05/08/2025,original,pipeline_extracted,,pipeline_only
ID,GECC-134653021,GEICO Casualty Company,19.0001 Private Passenger Auto (PPA),05/08/2025,original,pipeline_extracted,,pipeline_only
ID,GECC-134653021,GEICO Marine Insurance Company,19.0001 Private Passenger Auto (PPA),05/08/2025,original,pipeline_extracted,,pipeline_only
ID,GECC-134894381,GEICO Marine Insurance Company,19.0001 Private Passenger Auto (PPA),04/03/2026,original,pipeline_extracted,,pipeline_only
ID,GECC-134894381,GEICO Casualty Company,19.0001 Private Passenger Auto (PPA),04/03/2026,original,pipeline_extracted,,pipeline_only
ID,LBPM-133922253,Liberty Mutual Fire Insurance Company,04.0000 Homeowners Sub-TOI Combinations,02/05/2024,extension,pipeline_extracted,,pipeline_only
ID,LBPM-133922784,Liberty Insurance Corporation,04.0000 Homeowners Sub-TOI Combinations,01/01/2024,extension,pipeline_extracted,,pipeline_only
ID,LBPM-133922784,Liberty Mutual Insurance Company,04.0000 Homeowners Sub-TOI Combinations,01/01/2024,extension,pipeline_extracted,,pipeline_only
ID,LBPM-133923162,Liberty Mutual Insurance Company,04.0000 Homeowners Sub-TOI Combinations,01/01/2024,extension,pipeline_extracted,,pipeline_only
ID,LBPM-133923162,Liberty Mutual Personal Insurance Company,04.0000 Homeowners Sub-TOI Combinations,01/01/2024,extension,pipeline_extracted,,pipeline_only
ID,LBPM-134157751,Liberty Mutual Insurance Company,19.0000 Personal Auto Combinations,07/30/2024,extension,pipeline_extracted,,pipeline_only
ID,LBPM-134157751,Liberty Mutual Personal Insurance Company,19.0000 Personal Auto Combinations,07/30/2024,extension,pipeline_extracted,,pipeline_only
ID,LBPM-134347248,Liberty Mutual Fire Insurance Company,04.0000 Homeowners Sub-TOI Combinations,02/05/2025,original,pipeline_extracted,,pipeline_only
ID,LBPM-134347722,Liberty Mutual Insurance Company,04.0000 Homeowners Sub-TOI Combinations,01/01/2025,original,pipeline_extracted,,pipeline_only
ID,LBPM-134347722,Liberty Mutual Personal Insurance Company,04.0000 Homeowners Sub-TOI Combinations,01/01/2025,original,pipeline_extracted,,pipeline_only
ID,LBPM-134347807,Liberty Insurance Corporation,19.0000 Personal Auto Combinations,01/21/2025,original,pipeline_extracted,,pipeline_only
ID,LBPM-134347807,Liberty Mutual Fire Insurance Company,19.0000 Personal Auto Combinations,01/21/2025,original,pipeline_extracted,,pipeline_only
ID,LBPM-134347807,The First Liberty Insurance Corporation,19.0000 Personal Auto Combinations,01/21/2025,original,pipeline_extracted,,pipeline_only
ID,LBPM-134348285,Liberty Mutual Insurance Company,19.0000 Personal Auto Combinations,12/19/2024,extension,pipeline_extracted,,pipeline_only
ID,LBPM-134348285,Liberty Mutual Personal Insurance Company,19.0000 Personal Auto Combinations,12/19/2024,extension,pipeline_extracted,,pipeline_only
ID,LBPM-134399434,Liberty Mutual Insurance Company,19.0000 Personal Auto Combinations,07/21/2025,original,pipeline_extracted,,pipeline_only
ID,LBPM-134399434,Liberty Mutual Personal Insurance Company,19.0000 Personal Auto Combinations,07/21/2025,original,pipeline_extracted,,pipeline_only
ID,LBPM-134488487,Liberty Mutual Insurance Company,04.0000 Homeowners Sub-TOI Combinations,05/17/2025,original,pipeline_extracted,,pipeline_only
ID,LBPM-134488487,Liberty Mutual Personal Insurance Company,04.0000 Homeowners Sub-TOI Combinations,05/17/2025,original,pipeline_extracted,,pipeline_only
ID,GNSC-134806133,"MGA Insurance Company, Inc.",19.0001 Private Passenger Auto (PPA),01/23/2026,original,pipeline_extracted,,pipeline_only
ID,PRGS-133878904,Progressive Direct Insurance Company,19.0003 Recreational Vehicle (RV),01/12/2024,extension,pipeline_extracted,,pipeline_only
ID,PRGS-133878904,Progressive Northwestern Insurance Company,19.0003 Recreational Vehicle (RV),01/12/2024,extension,pipeline_extracted,,pipeline_only
ID,PRGS-134144916,Progressive Direct Insurance Company,19.0003 Recreational Vehicle (RV),12/06/2024,extension,pipeline_extracted,,pipeline_only
ID,PRGS-134144916,Progressive Northwestern Insurance Company,19.0003 Recreational Vehicle (RV),12/06/2024,extension,pipeline_extracted,,pipeline_only
ID,PRGS-134147799,Progressive Direct Insurance Company,19.0002 Motorcycle,12/06/2024,extension,pipeline_extracted,,pipeline_only
ID,PRGS-134147799,Progressive Northwestern Insurance Company,19.0002 Motorcycle,12/06/2024,extension,pipeline_extracted,,pipeline_only
ID,PRGS-134218749,Progressive Direct Insurance Company,19.0001 Private Passenger Auto (PPA),09/27/2024,extension,pipeline_extracted,,pipeline_only
ID,PRGS-134218749,Progressive Northern Insurance Company,19.0001 Private Passenger Auto (PPA),09/27/2024,extension,pipeline_extracted,,pipeline_only
ID,PRGS-134218749,Progressive Northwestern Insurance Company,19.0001 Private Passenger Auto (PPA),09/27/2024,extension,pipeline_extracted,,pipeline_only
ID,PRGS-134368750,Progressive Direct Insurance Company,19.0001 Private Passenger Auto (PPA),01/10/2025,original,pipeline_extracted,,pipeline_only
ID,PRGS-134368750,Progressive Northern Insurance Company,19.0001 Private Passenger Auto (PPA),01/10/2025,original,pipeline_extracted,,pipeline_only
ID,PRGS-134368750,Progressive Northwestern Insurance Company,19.0001 Private Passenger Auto (PPA),01/10/2025,original,pipeline_extracted,,pipeline_only
ID,LBPM-133801944,Safeco Insurance Company of Illinois,19.0002 Motorcycle,03/16/2024,extension,pipeline_extracted,,pipeline_only
ID,LBPM-133968105,Safeco Insurance Company of Illinois,04.0000 Homeowners Sub-TOI Combinations,02/19/2024,extension,pipeline_extracted,,pipeline_only
ID,LBPM-134272035,Safeco Insurance Company of Illinois,19.0000 Personal Auto Combinations,12/13/2024,extension,pipeline_extracted,,pipeline_only
ID,LBPM-134277608,Safeco Insurance Company of Illinois,04.0000 Homeowners Sub-TOI Combinations,11/11/2024,extension,pipeline_extracted,,pipeline_only
ID,LBPM-134326132,Safeco Insurance Company of Illinois,19.0002 Motorcycle,03/16/2025,original,pipeline_extracted,,pipeline_only
ID,LBPM-134403897,Safeco Insurance Company of Illinois,19.0000 Personal Auto Combinations,05/12/2025,original,pipeline_extracted,,pipeline_only
ID,LBPM-134760659,Safeco Insurance Company of Illinois,04.0000 Homeowners Sub-TOI Combinations,01/01/2026,original,pipeline_extracted,,pipeline_only
ID,SFMA-133807390,State Farm Fire and Casualty Company,19.0001 Private Passenger Auto (PPA),01/01/2024,extension,pipeline_extracted,,pipeline_only
ID,SFMA-133807390,State Farm Mutual Automobile Insurance Company,19.0001 Private Passenger Auto (PPA),01/01/2024,extension,pipeline_extracted,,pipeline_only
ID,SFMA-133920834,State Farm Fire and Casualty Company,04.0000 Homeowners Sub-TOI Combinations,01/15/2024,extension,pipeline_extracted,,pipeline_only
ID,SFMA-133934434,State Farm Fire and Casualty Company,19.0000 Personal Auto Combinations,03/04/2024,extension,pipeline_extracted,,pipeline_only
ID,SFMA-133934434,State Farm Mutual Automobile Insurance Company,19.0000 Personal Auto Combinations,03/04/2024,extension,pipeline_extracted,,pipeline_only
ID,SFMA-133987158,State Farm Fire and Casualty Company,04.0002 Mobile Homeowners,04/01/2024,extension,pipeline_extracted,,pipeline_only
ID,SFMA-134083852,State Farm Fire and Casualty Company,19.0002 Motorcycle,08/01/2024,extension,pipeline_extracted,,pipeline_only
ID,SFMA-134083852,State Farm Mutual Automobile Insurance Company,19.0002 Motorcycle,08/01/2024,extension,pipeline_extracted,,pipeline_only
ID,SFMA-134197056,State Farm Fire and Casualty Company,04.0000 Homeowners Sub-TOI Combinations,10/15/2024,extension,pipeline_extracted,,pipeline_only
ID,SFMA-134294867,State Farm Fire and Casualty Company,19.0001 Private Passenger Auto (PPA),04/15/2025,original,pipeline_extracted,,pipeline_only
ID,SFMA-134294867,State Farm Mutual Automobile Insurance Company,19.0001 Private Passenger Auto (PPA),04/15/2025,original,pipeline_extracted,,pipeline_only
ID,SFMA-134329519,State Farm Fire and Casualty Company,19.0000 Personal Auto Combinations,02/03/2025,original,pipeline_extracted,,pipeline_only
ID,SFMA-134329519,State Farm Mutual Automobile Insurance Company,19.0000 Personal Auto Combinations,02/03/2025,original,pipeline_extracted,,pipeline_only
ID,SFMA-134676753,State Farm Fire and Casualty Company,19.0000 Personal Auto Combinations,01/02/2026,original,field_validated,field,ambest_validated
ID,SFMA-134676753,State Farm Mutual Automobile Insurance Company,19.0000 Personal Auto Combinations,01/02/2026,original,field_validated,field,ambest_validated
ID,TRVD-133877224,The Travelers Home and Marine Insurance Company,04.0000 Homeowners Sub-TOI Combinations,01/27/2024,extension,pipeline_extracted,,pipeline_only
ID,TRVD-133877224,Travelers Commercial Insurance Company,04.0000 Homeowners Sub-TOI Combinations,01/27/2024,extension,pipeline_extracted,,pipeline_only
ID,TRVD-G134249162,The Travelers Home and Marine Insurance Company,04.0000 Homeowners Sub-TOI Combinations,01/25/2025,original,pipeline_extracted,,pipeline_only
ID,TRVD-G134249162,Travelers Commercial Insurance Company,04.0000 Homeowners Sub-TOI Combinations,01/25/2025,original,pipeline_extracted,,pipeline_only
WA,ALSE-133789684,Allstate Fire and Casualty Insurance Company,19.0001 Private Passenger Auto (PPA),01/15/2024,extension,pipeline_extracted,,pipeline_only
WA,ALSE-133897373,Allstate Indemnity Company,04.0003 Owner Occupied Homeowners,02/26/2024,extension,pipeline_extracted,,pipeline_only
WA,ALSE-133897486,Allstate Property and Casualty Insurance Company,04.0003 Owner Occupied Homeowners,02/26/2024,extension,pipeline_extracted,,pipeline_only
WA,ALSE-133902389,Allstate Insurance Company,04.0003 Owner Occupied Homeowners,02/26/2024,extension,pipeline_extracted,,pipeline_only
WA,ALSE-133920075,Allstate Vehicle and Property Insurance Company,04.0003 Owner Occupied Homeowners,03/11/2024,extension,pipeline_extracted,,pipeline_only
WA,ALSE-133975008,Allstate Fire and Casualty Insurance Company,19.0001 Private Passenger Auto (PPA),04/15/2024,extension,pipeline_extracted,,pipeline_only
WA,ALSE-134098985,Allstate Fire and Casualty Insurance Company,19.0001 Private Passenger Auto (PPA),08/12/2024,extension,pipeline_extracted,,pipeline_only
WA,ALSE-134099016,Allstate Property and Casualty Insurance Company,19.0000 Personal Auto Combinations,08/12/2024,extension,pipeline_extracted,,pipeline_only
WA,ALSE-134119095,Allstate Indemnity Company,04.0002 Mobile Homeowners,03/24/2025,extension,pipeline_extracted_in_validated_window,,pipeline_only
WA,ALSE-134135043,Allstate Indemnity Company,19.0001 Private Passenger Auto (PPA),02/17/2025,extension,pipeline_extracted_in_validated_window,,pipeline_only
WA,ALSE-134138722,Allstate Insurance Company,19.0001 Private Passenger Auto (PPA),09/23/2024,extension,pipeline_extracted,,pipeline_only
WA,ALSE-134142123,Allstate Property and Casualty Insurance Company,19.0001 Private Passenger Auto (PPA),09/23/2024,extension,pipeline_extracted,,pipeline_only
WA,ALSE-134206307,Allstate Fire and Casualty Insurance Company,19.0001 Private Passenger Auto (PPA),02/03/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,ALSE-134214513,Allstate Insurance Company,19.0001 Private Passenger Auto (PPA),11/25/2024,extension,pipeline_extracted,,pipeline_only
WA,ALSE-134214513,Allstate Property and Casualty Insurance Company,19.0001 Private Passenger Auto (PPA),11/25/2024,extension,pipeline_extracted,,pipeline_only
WA,ALSE-134214513,Allstate Indemnity Company,19.0001 Private Passenger Auto (PPA),11/25/2024,extension,pipeline_extracted,,pipeline_only
WA,ALSE-134326701,Allstate Indemnity Company,04.0003 Owner Occupied Homeowners,08/25/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,ALSE-134327525,Allstate Insurance Company,04.0003 Owner Occupied Homeowners,08/25/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,ALSE-134328097,Allstate Property and Casualty Insurance Company,04.0003 Owner Occupied Homeowners,08/25/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,ALSE-134345731,Allstate Vehicle and Property Insurance Company,04.0003 Owner Occupied Homeowners,04/07/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,ALSE-134416811,Allstate North American Insurance Company,19.0001 Private Passenger Auto (PPA),03/18/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,ALSE-134489276,Allstate Fire and Casualty Insurance Company,19.0001 Private Passenger Auto (PPA),07/21/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,ALSE-134489925,Allstate Property and Casualty Insurance Company,19.0000 Personal Auto Combinations,07/21/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,ALSE-134500694,Allstate North American Insurance Company,19.0001 Private Passenger Auto (PPA),07/24/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,ALSE-134517504,Allstate Vehicle and Property Insurance Company,04.0001 Condominium Homeowners,01/19/2026,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,ALSE-134538132,Allstate Indemnity Company,19.0001 Private Passenger Auto (PPA),11/10/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,ALSE-134572006,Allstate Vehicle and Property Insurance Company,04.0003 Owner Occupied Homeowners,08/04/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,ALSE-134597553,Allstate North American Insurance Company,19.0001 Private Passenger Auto (PPA),10/14/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,ALSE-134684477,Allstate North American Insurance Company,19.0001 Private Passenger Auto (PPA),11/18/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,ALSE-134095154,Encompass Indemnity Company,19.0001 Private Passenger Auto (PPA),07/12/2025,extension,pipeline_extracted_in_validated_window,,pipeline_only
WA,ALSE-134095177,Encompass Indemnity Company,04.0000 Homeowners Sub-TOI Combinations,07/12/2025,extension,pipeline_extracted_in_validated_window,,pipeline_only
WA,ALSE-134214686,Encompass Indemnity Company,19.0001 Private Passenger Auto (PPA),01/06/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,GMMX-134645542,Encompass Indemnity Company,19.0001 Private Passenger Auto (PPA),,original,pipeline_extracted,,pipeline_only
WA,GMMX-134659152,Encompass Indemnity Company,19.0001 Private Passenger Auto (PPA),12/13/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,GECC-134044540,GEICO Indemnity Company,19.0002 Motorcycle,07/18/2024,extension,pipeline_extracted,,pipeline_only
WA,GECC-134126215,GEICO General Insurance Company,19.0001 Private Passenger Auto (PPA),10/10/2024,extension,pipeline_extracted,,pipeline_only
WA,GECC-134126215,Government Employees Insurance Company,19.0001 Private Passenger Auto (PPA),10/10/2024,extension,pipeline_extracted,,pipeline_only
WA,GECC-134126294,GEICO Indemnity Company,19.0001 Private Passenger Auto (PPA),10/10/2024,extension,pipeline_extracted,,pipeline_only
WA,GECC-134126318,GEICO Advantage Insurance Company,19.0001 Private Passenger Auto (PPA),10/10/2024,extension,pipeline_extracted,,pipeline_only
WA,GECC-134126318,GEICO Choice Insurance Company,19.0001 Private Passenger Auto (PPA),10/10/2024,extension,pipeline_extracted,,pipeline_only
WA,GECC-134126318,GEICO Secure Insurance Company,19.0001 Private Passenger Auto (PPA),10/10/2024,extension,pipeline_extracted,,pipeline_only
WA,GECC-134628136,GEICO General Insurance Company,19.0003 Recreational Vehicle (RV),09/18/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,GECC-134628136,Government Employees Insurance Company,19.0003 Recreational Vehicle (RV),09/18/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,GECC-134629877,GEICO Indemnity Company,19.0003 Recreational Vehicle (RV),09/18/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,GECC-134629950,GEICO Advantage Insurance Company,19.0003 Recreational Vehicle (RV),09/18/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,GECC-134629950,GEICO Choice Insurance Company,19.0003 Recreational Vehicle (RV),09/18/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,GECC-134629950,GEICO Secure Insurance Company,19.0003 Recreational Vehicle (RV),09/18/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,LBPM-133883711,Liberty Mutual Fire Insurance Company,04.0000 Homeowners Sub-TOI Combinations,03/01/2024,extension,pipeline_extracted,,pipeline_only
WA,LBPM-133977065,Liberty Mutual Fire Insurance Company,04.0000 Homeowners Sub-TOI Combinations,05/26/2024,extension,pipeline_extracted,,pipeline_only
WA,PRGS-133899969,Progressive Casualty Insurance Company,19.0001 Private Passenger Auto (PPA),04/26/2024,extension,pipeline_extracted,,pipeline_only
WA,PRGS-133899969,Progressive Direct Insurance Company,19.0001 Private Passenger Auto (PPA),04/26/2024,extension,pipeline_extracted,,pipeline_only
WA,PRGS-134191751,Progressive Casualty Insurance Company,19.0001 Private Passenger Auto (PPA),02/07/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,PRGS-134191751,Progressive Direct Insurance Company,19.0001 Private Passenger Auto (PPA),02/07/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,LBPM-133779020,General Insurance Company of America,19.0000 Personal Auto Combinations,03/12/2024,extension,pipeline_extracted,,pipeline_only
WA,LBPM-133779020,Safeco Insurance Company of America,19.0000 Personal Auto Combinations,03/12/2024,extension,pipeline_extracted,,pipeline_only
WA,LBPM-133779020,Safeco Insurance Company of Illinois,19.0000 Personal Auto Combinations,03/12/2024,extension,pipeline_extracted,,pipeline_only
WA,LBPM-133864197,Safeco Insurance Company of Illinois,19.0002 Motorcycle,06/19/2024,extension,pipeline_extracted,,pipeline_only
WA,LBPM-133864423,Safeco Insurance Company of America,04.0000 Homeowners Sub-TOI Combinations,01/09/2024,extension,pipeline_extracted,,pipeline_only
WA,LBPM-133979163,Safeco Insurance Company of America,04.0000 Homeowners Sub-TOI Combinations,04/27/2024,extension,pipeline_extracted,,pipeline_only
WA,LBPM-134049356,General Insurance Company of America,19.0000 Personal Auto Combinations,09/22/2024,extension,pipeline_extracted,,pipeline_only
WA,LBPM-134049356,Safeco Insurance Company of America,19.0000 Personal Auto Combinations,09/22/2024,extension,pipeline_extracted,,pipeline_only
WA,LBPM-134049356,Safeco Insurance Company of Illinois,19.0000 Personal Auto Combinations,09/22/2024,extension,pipeline_extracted,,pipeline_only
WA,LBPM-134066961,Safeco Insurance Company of Oregon,19.0000 Personal Auto Combinations,09/22/2024,extension,pipeline_extracted,,pipeline_only
WA,LBPM-134220016,Safeco Insurance Company of Illinois,19.0002 Motorcycle,03/16/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,LBPM-134619371,Safeco Insurance Company of America,04.0001 Condominium Homeowners,12/31/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,LBPM-134745236,Safeco Insurance Company of America,04.0000 Homeowners Sub-TOI Combinations,02/21/2026,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,SFMA-133686505,State Farm Fire and Casualty Company,04.0002 Mobile Homeowners,02/01/2024,extension,pipeline_extracted,,pipeline_only
WA,SFMA-133737144,State Farm Fire and Casualty Company,19.0000 Personal Auto Combinations,01/08/2024,extension,pipeline_extracted,,pipeline_only
WA,SFMA-133737144,State Farm Mutual Automobile Insurance Company,19.0000 Personal Auto Combinations,01/08/2024,extension,pipeline_extracted,,pipeline_only
WA,SFMA-133957681,State Farm Fire and Casualty Company,19.0000 Personal Auto Combinations,06/10/2024,extension,pipeline_extracted,,pipeline_only
WA,SFMA-133957681,State Farm Mutual Automobile Insurance Company,19.0000 Personal Auto Combinations,06/10/2024,extension,pipeline_extracted,,pipeline_only
WA,SFMA-134044384,State Farm Fire and Casualty Company,04.0000 Homeowners Sub-TOI Combinations,07/15/2024,extension,pipeline_extracted,,pipeline_only
WA,SFMA-134076828,State Farm Fire and Casualty Company,19.0002 Motorcycle,08/01/2024,extension,pipeline_extracted,,pipeline_only
WA,SFMA-134076828,State Farm Mutual Automobile Insurance Company,19.0002 Motorcycle,08/01/2024,extension,pipeline_extracted,,pipeline_only
WA,SFMA-134315085,State Farm Fire and Casualty Company,04.0005 Other Homeowners,12/15/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,SFMA-134315091,State Farm Fire and Casualty Company,04.0005 Other Homeowners,04/15/2026,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,SFMA-134422784,State Farm Fire and Casualty Company,04.0002 Mobile Homeowners,08/01/2025,original,pipeline_extracted_in_validated_window,,pipeline_only
WA,TRVD-133853983,The Travelers Home and Marine Insurance Company,19.0001 Private Passenger Auto (PPA),02/25/2024,extension,pipeline_extracted,,pipeline_only
WA,TRVD-133853983,Travelers Commercial Insurance Company,19.0001 Private Passenger Auto (PPA),02/25/2024,extension,pipeline_extracted,,pipeline_only
